Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
03-12-2017,7701836.0,6709,0.7573408853778506,1148.0
03-12-2018,13856842.0,16354,0.9428274428274428,847.0
03-12-2019,5891506.0,8123,0.9750092330419796,725.0
04-01-2011,1241874.0,1536,0.9303385416666666,809.0
04-01-2012,1385406.0,2357,0.9596945269410267,588.0
04-01-2013,2967780.0,4078,0.9271701814615008,728.0
04-01-2014,1472207.0,2242,0.9295272078501338,657.0
04-01-2015,3044964.0,3658,0.8627665390924002,832.0
04-01-2016,3645075.0,5133,0.9466199103837911,710.0
04-01-2017,5964952.0,7185,0.8958942240779402,830.0
04-01-2018,1383088.0,2368,0.9721283783783784,584.0
04-01-2019,7019778.0,7362,0.884813909263787,954.0
04-01-2020,3550372.0,3979,0.901482784619251,892.0
04-02-2011,1272822.0,1691,0.94795978710822,753.0
04-02-2012,2380475.0,2797,0.8630675723989989,851.0
04-02-2013,2490441.0,3919,0.9688696095942843,635.0
04-02-2014,3355075.0,5177,0.9748889318137918,648.0
04-02-2015,3966654.0,6074,0.9935791899901218,653.0
04-02-2016,4750689.0,6691,0.9550141981766552,710.0
04-02-2017,4763328.0,4807,0.809028500104015,991.0
04-02-2018,1060568.0,1428,0.9299719887955182,743.0
04-02-2019,6980304.0,7797,0.9294600487366936,895.0
04-02-2020,6150218.0,8202,0.9596439892709095,750.0
04-03-2011,1632020.0,1923,0.8887155486219449,849.0
04-03-2012,3406887.0,3378,0.7898164594434577,1009.0
04-03-2013,3044908.0,4412,0.9295104261106074,690.0
04-03-2014,1698965.0,2244,0.9723707664884136,757.0
04-03-2015,2605402.0,4141,0.9729533929002656,629.0
04-03-2016,3939733.0,5345,0.9489242282507016,737.0
04-03-2017,5555805.0,5283,0.7533598334279765,1052.0
04-03-2018,8134281.0,6513,0.6952249347458929,1249.0
04-03-2019,4704521.0,6265,0.9417398244213887,751.0
04-03-2020,7841546.0,9127,0.9399583652897995,859.0
04-04-2011,4589376.0,3079,0.7616109126339721,1491.0
04-04-2012,6616892.0,6383,0.8340905530314899,1037.0
